2847: 0x817a818
284: 0x8146c1e
286: 0x8146ce7
2882: 0x817adaf
289: 0x8146d46
290: 0x8146ef7
2923: 0x817bc93
2928: 0x817bdab
2930: 0x817bdf2
2931: 0x817be68
2935: 0x817bf17
2937: 0x817bf41
2938: 0x817bfc4
293: 0x8146f56
2940: 0x817bfd4
2941: 0x817c008
2943: 0x817c02c
2946: 0x817c0c6
2947: 0x817c0e8
2976: 0x817c738
2978: 0x817c7b6
2983: 0x817c99a
2994: 0x817cc6b
2995: 0x817cc7e
2999: 0x817ce02
3002: 0x817ceb8
3006: 0x817cdec
3007: 0x817cf0f
3008: 0x817cefc
3010: 0x817cf62
3013: 0x817cf47
3017: 0x817d01f
3018: 0x817d07c
3019: 0x817d09b
3022: 0x817d0db
3024: 0x817d1e6
3026: 0x817d2d8
3029: 0x817d6ca
3031: 0x817d733
3036: 0x817d7d8
3038: 0x817d9ce
3045: 0x817dc38
3047: 0x817dc75
3062: 0x817e3a1
3064: 0x817e4e4
3066: 0x817e6d1
3068: 0x817e814
306: 0x8147777
3070: 0x817e9a0
3071: 0x817ea72
3073: 0x817eb73
3075: 0x817eb84
3076: 0x817ec11
3080: 0x817ec83
3081: 0x817edb8
3085: 0x817eede
3088: 0x817efae
3094: 0x817f470
3095: 0x817f4b8
3096: 0x817f4f0
3097: 0x817fe8a
3098: 0x817fe98
3099: 0x817f596
309: 0x81477d6
3100: 0x817f5bc
3101: 0x817f75c
3104: 0x817f68c
3105: 0x817f781
3109: 0x817f7b3
310: 0x8147997
3111: 0x817f89c
3112: 0x817f8aa
3113: 0x817f849
3115: 0x817f9ee
3116: 0x817f926
3117: 0x817fa07
3118: 0x817f953
3119: 0x817fa97
3120: 0x817f997
3121: 0x817faa9
3122: 0x817fa89
3123: 0x817fa58
3125: 0x817fae8
3126: 0x817ff4a
3127: 0x817ffbf
3129: 0x818011b
3130: 0x8180143
3133: 0x81801e4
3134: 0x8180221
3135: 0x81810f5
3138: 0x81803ec
313: 0x81479f6
3146: 0x818060c
3157: 0x818081e
3161: 0x818098e
3169: 0x8180282
3170: 0x818115a
3171: 0x81811ce
3172: 0x81811e9
3173: 0x81812b5
3174: 0x81812a7
3175: 0x81812fc
3176: 0x81812ee
3177: 0x8181431
3179: 0x818136c
3180: 0x818143f
3183: 0x8181498
3184: 0x8181471
3185: 0x81816fe
3186: 0x818175a
3189: 0x8181884
3194: 0x81819a7
